"community","year","month","median","mean","sum","count"
6,2013,7,5.45,7.38507618476305,307773.05,41675
6,2013,8,5.45,6.63522752923119,293953.85,44302
6,2013,9,5.45,6.12240093293922,265124.45,43304
6,2013,10,5.25,6.17149066585872,264800.15,42907
6,2013,11,5.25,6.08791053170761,303074.45,49783
6,2013,12,5.25,6.37725534785122,330915.78,51890
7,2013,1,5.25,7.21015805156108,166965.63,23157
7,2013,2,5.25,7.54868669242594,181689.34,24069
7,2013,3,5.45,6.72479717751747,193465.69,28769
7,2013,4,5.25,8.64453099963022,210399.24,24339
7,2013,5,5.45,7.37273368008443,195613.37,26532
7,2013,6,5.45,7.81616506581288,241683.64,30921
7,2013,7,5.45,6.98435938815605,199082.18,28504
7,2013,8,5.45,6.3321099796334,186543.96,29460
7,2013,9,5.45,6.0819761148165,174169.55,28637
7,2013,10,5.45,5.95117202911367,174976.36,29402
7,2013,11,5.25,5.84163032439214,195566.1,33478
7,2013,12,5.45,5.7898802957755,191054.47,32998
8,2013,1,5.45,6.69389365595639,1035203.96,154649
8,2013,2,5.45,7.44865876825534,1242950.24,166869
8,2013,3,5.45,7.52522806913492,1522571.87,202329
8,2013,4,5.45,7.66852781056474,1474803.6,192319
8,2013,5,5.65,6.93144114054508,1452719.16,209584
8,2013,6,5.65,6.9301047464058,1541546.36,222442
8,2013,7,5.65,6.82662785044457,1460311.27,213914
8,2013,8,5.65,6.45999705631662,1470334.09,227606
8,2013,9,5.65,6.14492766239124,1355343.68,220563
8,2013,10,5.65,6.27653973456341,1551184.03,247140
8,2013,11,5.45,6.1671438223123,1533528.15,248661
8,2013,12,5.45,6.38189556141524,1737751.87,272294
9,2013,1,3.25,5.03,100.6,20
9,2013,2,3.45,7.90454545454546,86.95,11
9,2013,3,7.345,22.55375,541.29,24
9,2013,4,4.65,12.5846153846154,163.6,13
9,2013,5,3.25,5.72608695652174,131.7,23
9,2013,6,3.25,9.5,171,18
9,2013,7,3.25,4.49,67.35,15
9,2013,8,8.65,14.7909090909091,162.7,11
9,2013,9,3.65,9.93368421052632,188.74,19
9,2013,10,3.25,4.521875,72.35,16
9,2013,11,3.25,7,168,24
9,2013,12,4.45,10.3152380952381,216.62,21
10,2013,1,3.25,10.7549344978166,2462.88,229
10,2013,2,3.45,6.62589958158996,1583.59,239
10,2013,3,3.25,8.02523219814242,2592.15,323
10,2013,4,3.25,19.2409763313609,6503.45,338
10,2013,5,3.25,9.47949685534591,3014.48,318
10,2013,6,3.45,7.12991044776119,2388.52,335
10,2013,7,3.25,20.2017105263158,6141.32,304
10,2013,8,3.25,7.24191489361702,2382.59,329
10,2013,9,3.25,7.09913621262459,2136.84,301
10,2013,10,3.25,7.06259036144578,2344.78,332
10,2013,11,3.25,6.86882175226586,2273.58,331
10,2013,12,3.25,7.28264781491003,2832.95,389
11,2013,1,3.25,4.58325,4399.92,960
11,2013,2,3.25,5.78995428571429,5066.21,875
11,2013,3,3.25,4.75407407407407,5647.84,1188
11,2013,4,3.25,7.22887921653972,6643.34,919
11,2013,5,3.25,6.41437284234753,5574.09,869
11,2013,6,3.25,5.79903890160183,5068.36,874
11,2013,7,3.25,4.91272493573265,3822.1,778
11,2013,8,3.25,5.83931788931789,4537.15,777
11,2013,9,3.25,6.72372972972973,4975.56,740
11,2013,10,3.25,6.51228604923798,5554.98,853
11,2013,11,3.25,6.27729351969504,4940.23,787
11,2013,12,3.25,5.64866019417476,5818.12,1030
12,2013,1,3.35,4.4690306122449,875.93,196
12,2013,2,3.65,5.48408839779005,992.62,181
12,2013,3,3.25,5.10241758241758,928.64,182
12,2013,4,3.25,5.57402654867257,1259.73,226
12,2013,5,3.65,6.93625730994152,1186.1,171
12,2013,6,3.65,6.57862944162437,1295.99,197
12,2013,7,3.25,8.5083615819209,1505.98,177
12,2013,8,3.25,4.88383720930233,840.02,172
12,2013,9,3.25,6.55063291139241,1035,158
12,2013,10,3.25,5.87365591397849,1092.5,186
12,2013,11,3.25,9.44388535031847,1482.69,157
12,2013,12,3.25,7.60993975903614,1263.25,166
13,2013,1,3.25,6.02030769230769,2739.24,455
13,2013,2,3.25,6.22693832599119,2827.03,454
13,2013,3,3.25,8.52346391752577,4133.88,485
13,2013,4,3.25,9.93868951612903,4929.59,496
13,2013,5,3.25,5.77068702290076,3023.84,524
13,2013,6,3.25,6.83778523489933,4075.32,596
13,2013,7,3.25,4.82270377733598,2425.82,503
13,2013,8,3.25,4.93929978118162,2257.26,457
13,2013,9,3.25,4.50283662477558,2508.08,557
13,2013,10,3.25,5.14406654343808,2782.94,541
13,2013,11,3.25,5.39675471698113,2860.28,530
13,2013,12,3.25,5.00861888111888,2864.93,572
14,2013,1,4.35,6.45479214780601,5589.85,866
14,2013,2,4.65,7.40718104495747,6096.11,823
14,2013,3,4.45,7.38323621227888,7095.29,961
14,2013,4,4.25,8.33651826484018,7302.79,876
14,2013,5,4.25,7.50223166843783,7059.6,941
14,2013,6,4.05,5.81941314553991,4958.14,852
14,2013,7,4.25,6.50133042529989,5961.72,917
14,2013,8,4.05,6.02667381974249,5616.86,932
14,2013,9,4.15,5.98743506493506,5532.39,924
14,2013,10,4.05,6.35506085192698,6266.09,986
14,2013,11,4.25,6.41786825251601,7014.73,1093
14,2013,12,4.25,6.46463009143807,7776.95,1203
15,2013,1,3.25,5.50664912280702,3138.79,570
15,2013,2,3.25,5.8385910652921,3398.06,582
15,2013,3,3.25,5.55030015797788,3513.34,633
15,2013,4,3.25,7.46268156424581,4007.46,537
15,2013,5,3.25,5.94756302521008,3538.8,595
15,2013,6,3.25,6.40050903119869,3897.91,609
15,2013,7,3.25,4.79817808219178,3502.67,730
15,2013,8,3.25,5.22359009628611,3797.55,727
15,2013,9,3.25,6.48885761589404,3919.27,604
15,2013,10,3.25,7.38147994467497,5336.81,723
15,2013,11,3.25,5.26400572246066,3679.54,699
15,2013,12,3.25,6.71612557427259,4385.63,653
16,2013,1,3.25,6.52851311953353,15674.96,2401
16,2013,2,3.35,5.82561637931035,13515.43,2320
16,2013,3,3.25,6.17185253118122,16824.47,2726
16,2013,4,3.25,5.71259635599159,16303.75,2854
16,2013,5,3.25,6.76607977003234,18830,2783
16,2013,6,3.25,5.43720879913451,15077.38,2773
16,2013,7,3.25,6.04013619339462,17739.88,2937
16,2013,8,3.25,5.58370060790274,14696.3,2632
16,2013,9,3.25,5.51505345394737,13412.61,2432
16,2013,10,3.25,5.63925724637681,15564.35,2760
16,2013,11,3.25,5.48051144492132,15323.51,2796
16,2013,12,3.25,5.67524407753051,15811.23,2786
17,2013,1,3.45,6.22230088495575,703.12,113
17,2013,2,3.25,6.50682242990654,696.23,107
17,2013,3,3.25,6.71578947368421,638,95
17,2013,4,3.25,7.29537037037037,787.9,108
17,2013,5,3.25,7.34567307692308,763.95,104
17,2013,6,3.25,4.75238095238095,499,105
17,2013,7,3.25,4.96157024793388,600.35,121
17,2013,8,3.25,4.62019607843137,471.26,102
17,2013,9,4.05,8.69768292682927,713.21,82
17,2013,10,4.25,10.3517948717949,807.44,78
17,2013,11,3.25,6.825,641.55,94
17,2013,12,3.25,7.56822222222222,681.14,90
18,2013,1,2.45,4.2725,170.9,40
18,2013,2,3.05,10.8156666666667,324.47,30
18,2013,3,3.65,12.7466666666667,573.6,45
18,2013,4,3.25,11.2365853658537,460.7,41
18,2013,5,2.65,9.97592592592593,269.35,27
18,2013,6,2.45,8.94036363636364,491.72,55
18,2013,7,2.45,7.83868421052632,297.87,38
18,2013,8,3.25,8.69921568627451,443.66,51
18,2013,9,3.45,15.1452380952381,318.05,21
18,2013,10,5.65,13.8619047619048,291.1,21
18,2013,11,3.65,7.53333333333333,158.2,21
18,2013,12,5.05,10.8661290322581,336.85,31
19,2013,1,3.95,6.83387096774194,847.4,124
19,2013,2,3.45,7.1444,893.05,125
19,2013,3,4.25,23.2125185185185,3133.69,135
19,2013,4,4.35,8.09868421052632,923.25,114
19,2013,5,4.25,9.32690058479532,1594.9,171
19,2013,6,3.25,7.03,1068.56,152
19,2013,7,3.25,6.11671428571429,856.34,140
19,2013,8,3.25,7.39853333333333,1109.78,150
19,2013,9,3.45,6.8212426035503,1152.79,169
19,2013,10,4.65,7.85255639097744,1044.39,133
19,2013,11,3.25,5.76541401273885,905.17,157
19,2013,12,4.45,9.79459302325581,1684.67,172
20,2013,1,3.25,7.16,264.92,37
20,2013,2,3.25,4.76851851851852,128.75,27
20,2013,3,4.85,13.6558904109589,996.88,73
20,2013,4,3.25,7.08,375.24,53
20,2013,5,3.45,6.8278947368421,259.46,38
20,2013,6,3.25,4.85394736842105,184.45,38
20,2013,7,3.25,5.3125,170,32
20,2013,8,3.25,4.76864864864865,176.44,37
20,2013,9,3.25,4.49,179.6,40
20,2013,10,3.25,6.57666666666667,197.3,30
20,2013,11,3.25,6.16333333333333,369.8,60
20,2013,12,3.25,5.35283783783784,396.11,74
21,2013,1,3.65,6.8131330472103,4762.38,699
21,2013,2,4.45,18.7701085481682,13833.57,737
21,2013,3,3.25,5.37108924806746,7643.06,1423
21,2013,4,3.25,7.20380592312539,11432.44,1587
21,2013,5,3.25,4.78470448045758,10038.31,2098
21,2013,6,3.25,4.65824011571842,9661.19,2074
21,2013,7,3.25,4.52511427120366,8909.95,1969
21,2013,8,3.25,4.45557026476578,8750.74,1964
21,2013,9,3.25,4.51267838125666,8474.81,1878
21,2013,10,3.25,4.54012053778396,9793.04,2157
21,2013,11,3.25,4.81753892516323,9591.72,1991
21,2013,12,3.25,4.73360417612347,10428.13,2203
22,2013,1,5.25,7.6657045675413,31552.04,4116
22,2013,2,5.45,9.84312299219826,42896.33,4358
22,2013,3,5.45,6.50619905385735,35758.07,5496
22,2013,4,5.45,6.59108709208065,31709.72,4811
22,2013,5,5.45,6.74357142857143,31060.89,4606
22,2013,6,5.45,6.2774325159695,30464.38,4853
22,2013,7,5.25,7.10583169827774,32594.45,4587
22,2013,8,5.25,6.00239008328491,30990.34,5163
22,2013,9,5.25,6.10644422700587,31203.93,5110
22,2013,10,5.25,6.00258515116724,31369.51,5226
22,2013,11,5.25,6.03588673857868,38050.23,6304
22,2013,12,5.25,7.07947383891828,48168.74,6804
23,2013,1,4.85,6.55068702290076,858.14,131
23,2013,2,4.05,6.73935779816514,734.59,109
23,2013,3,4.925,7.03043209876543,1138.93,162
23,2013,4,4.85,7.77843137254902,1190.1,153
23,2013,5,4.25,6.96006493506493,1071.85,154
23,2013,6,3.45,6.61975609756098,1085.64,164
23,2013,7,3.25,5.49230769230769,642.6,117
23,2013,8,3.65,6.39158333333333,766.99,120
23,2013,9,3.65,6.15374149659864,904.6,147
23,2013,10,3.85,7.27943661971831,1033.68,142
23,2013,11,4.55,7.8564375,1257.03,160
23,2013,12,3.85,6.6325974025974,1532.13,231
24,2013,1,5.25,5.74041882829305,90733.06,15806
24,2013,2,5.25,6.221930657801,104802.2,16844
24,2013,3,5.25,6.22913010590015,123523.65,19830
24,2013,4,5.25,7.54558485193622,132500.47,17560
24,2013,5,5.25,6.70783488742324,117977.4,17588
24,2013,6,5.45,7.50357922488795,142305.38,18965
24,2013,7,5.25,6.4752379631684,116735.59,18028
24,2013,8,5.45,6.16864351657575,117599.02,19064
24,2013,9,5.45,6.46363964306057,136175.96,21068
24,2013,10,5.25,5.91119468802271,116621.96,19729
24,2013,11,5.25,5.83291082638232,135661.84,23258
24,2013,12,5.25,6.12644247413975,145104.79,23685
25,2013,1,3.25,5.22089481946625,3325.71,637
25,2013,2,3.65,7.11612121212121,4696.64,660
25,2013,3,3.65,5.46341325811001,3873.56,709
25,2013,4,3.65,5.55799382716049,3601.58,648
25,2013,5,3.65,5.89255813953488,4054.08,688
25,2013,6,3.65,5.55289517470882,3337.29,601
25,2013,7,3.45,5.37635179153094,3301.08,614
25,2013,8,3.25,5.70847222222222,2877.07,504
25,2013,9,4.25,8.20529801324503,1239,151
25,2013,10,4.45,10.2604736842105,1949.49,190
25,2013,11,4.05,8.97720588235294,1831.35,204
25,2013,12,5.25,9.40987288135593,2220.73,236
26,2013,1,3.45,8.53157894736842,324.2,38
26,2013,2,5.45,12.1979012345679,988.03,81
26,2013,3,4.75,9.69916666666667,581.95,60
26,2013,4,3.45,7.73545454545455,425.45,55
26,2013,5,3.45,6.84754385964912,390.31,57
26,2013,6,2.45,5.82659574468085,273.85,47
26,2013,7,2.45,4.58863636363636,201.9,44
26,2013,8,3.25,5.70681818181818,251.1,44
26,2013,9,5.35,9.5125,152.2,16
26,2013,10,3.25,7.75689655172414,224.95,29
26,2013,11,3.45,9.13421052631579,173.55,19
26,2013,12,3.55,6.22,124.4,20
27,2013,1,3.25,5.49432432432432,406.58,74
27,2013,2,3.25,5.53982456140351,631.54,114
27,2013,3,3.25,5.40601503759398,719,133
27,2013,4,3.25,7.57885714285714,795.78,105
27,2013,5,3.25,6.0793893129771,796.4,131
27,2013,6,3.25,5.67807407407407,766.54,135
27,2013,7,4.25,7.32057142857143,1024.88,140
27,2013,8,3.25,4.86428571428571,544.8,112
27,2013,9,3.25,6.18686746987952,513.51,83
27,2013,10,3.25,5.3338679245283,565.39,106
27,2013,11,3.25,7.43358208955224,498.05,67
27,2013,12,3.25,7.98860215053764,742.94,93
28,2013,1,5.05,7.17282915091097,146060.32,20363
28,2013,2,5.25,7.17932306094183,165871.08,23104
28,2013,3,5.45,6.97837812967294,182003.08,26081
28,2013,4,5.45,7.22815672588833,182265.2,25216
28,2013,5,5.45,8.0712368110156,198124.65,24547
28,2013,6,5.25,7.02968414376321,166252.03,23650
28,2013,7,5.25,6.84685774565696,152527.45,22277
28,2013,8,5.25,6.16142415616104,151509.42,24590
28,2013,9,5.25,7.34291033746613,178858.61,24358
28,2013,10,5.25,6.74212588333102,194631.69,28868
28,2013,11,5.25,6.33655133693593,180579.04,28498
28,2013,12,5.25,6.14777143032648,200165.29,32559
29,2013,1,3.25,4.26428571428571,119.4,28
29,2013,2,3.45,10.4758139534884,450.46,43
29,2013,3,5.85,10.3892727272727,571.41,55
29,2013,4,3.25,6.8743661971831,488.08,71
29,2013,5,3.65,7.38160714285714,413.37,56
29,2013,6,3.25,10.4883333333333,314.65,30
29,2013,7,3.25,5.21470588235294,265.95,51
29,2013,8,3.25,6.12016129032258,379.45,62
29,2013,9,3.65,5.62169811320755,297.95,53
29,2013,10,5.45,9.09777777777778,409.4,45
29,2013,11,4.25,9.00102040816327,441.05,49
29,2013,12,4.25,8.62631578947368,491.7,57
30,2013,1,3.45,13.7245614035088,782.3,57
30,2013,2,3.45,7.35742424242424,485.59,66
30,2013,3,3.35,6.81447368421053,517.9,76
30,2013,4,3.85,8.54796116504854,880.44,103
30,2013,5,6.75,9.5473275862069,1107.49,116
30,2013,6,5.45,9.45747252747253,860.63,91
30,2013,7,3.45,8.86271186440678,522.9,59
30,2013,8,3.85,7.48037974683544,590.95,79
30,2013,9,3.45,7.1955421686747,597.23,83
30,2013,10,4.45,8.68933333333333,912.38,105
30,2013,11,3.45,9.20822784810127,727.45,79
30,2013,12,3.7,9.20860655737705,1123.45,122
31,2013,1,3.55,5.29599137931034,1228.67,232
31,2013,2,4.35,6.97288194444444,2008.19,288
31,2013,3,4.45,6.57889162561576,2671.03,406
31,2013,4,3.85,5.97474093264249,2306.25,386
31,2013,5,4.745,7.20278350515464,2794.68,388
31,2013,6,3.65,6.49571428571429,2137.09,329
31,2013,7,4.25,6.15465986394558,1809.47,294
31,2013,8,3.85,6.62328530259366,2298.28,347
31,2013,9,3.65,6.02882951653944,2369.33,393
31,2013,10,4.05,6.70115879828326,3122.74,466
31,2013,11,4.05,6.66861842105263,3040.89,456
31,2013,12,4.65,6.7496463654224,3435.57,509
32,2013,1,5.25,6.87360703410475,451458.51,65680
32,2013,2,5.25,6.98025069022639,505649.36,72440
32,2013,3,5.25,6.45423466912765,545505.46,84519
32,2013,4,5.25,8.30812044224888,741674.22,89271
32,2013,5,5.45,7.12264079729067,624634.23,87697
32,2013,6,5.45,6.71016721409376,561808.75,83725
32,2013,7,5.45,6.56479664512894,576080.6,87753
32,2013,8,5.45,6.28201482188225,566241.97,90137
32,2013,9,5.45,6.30721212395079,558308.11,88519
32,2013,10,5.45,6.34705948556148,659827.61,103958
32,2013,11,5.45,5.96353605247735,580019.48,97261
32,2013,12,5.25,6.33101710661846,626935.3,99026
33,2013,1,4.65,9.7535723890632,21760.22,2231
33,2013,2,5.05,6.6917579006772,23715.59,3544
33,2013,3,5.25,7.47809674693705,35401.31,4734
33,2013,4,5.05,6.96769886363636,29431.56,4224
33,2013,5,5.25,7.6515059563947,34041.55,4449
33,2013,6,5.45,8.38466571428571,58692.66,7000
33,2013,7,5.45,6.5360969556585,39504.17,6044
33,2013,8,5.05,7.88791984732824,37199.43,4716
33,2013,9,5.25,6.25674770039422,38091.08,6088
33,2013,10,5.25,6.61642343992112,46969.99,7099
33,2013,11,5.05,6.01466046674855,34277.55,5699
33,2013,12,4.85,6.34827044025157,34318.75,5406
34,2013,1,3.45,5.415,638.97,118
34,2013,2,4.85,6.73121428571429,942.37,140
34,2013,3,3.85,6.72074829931973,1975.9,294
34,2013,4,4.65,7.42490506329114,2346.27,316
34,2013,5,4.25,8.05422839506173,2609.57,324
34,2013,6,3.85,7.76130434782609,1963.61,253
34,2013,7,3.45,6.57698581560284,1854.71,282
34,2013,8,3.45,6.1856936416185,2140.25,346
34,2013,9,3.45,6.52078175895766,2001.88,307
34,2013,10,3.45,6.38791821561338,1718.35,269
34,2013,11,3.45,5.57767790262172,1489.24,267
34,2013,12,3.45,5.97,1802.94,302
35,2013,1,4.25,12.3577931034483,3583.76,290
35,2013,2,5.15,11.614296875,5946.52,512
35,2013,3,4.85,8.56824146981627,6529,762
35,2013,4,3.45,7.02711409395973,6282.24,894
35,2013,5,3.65,6.71965745856354,6081.29,905
35,2013,6,3.65,6.5275234521576,3479.17,533
35,2013,7,3.85,7.03976851851852,3041.18,432
35,2013,8,3.85,6.12192647058824,4162.91,680
35,2013,9,3.45,5.88665722379603,4155.98,706
35,2013,10,3.45,5.82254523522316,4826.89,829
35,2013,11,3.65,6.22974226804124,4834.28,776
35,2013,12,3.65,6.56881793478261,4834.65,736
36,2013,1,3.25,5.99078947368421,227.65,38
36,2013,2,3.25,6.30777777777778,283.85,45
36,2013,3,3.65,6.27894736842105,477.2,76
36,2013,4,4.645,7.41983333333333,445.19,60
36,2013,5,3.85,6.74489583333333,647.51,96
36,2013,6,3.25,6.08333333333333,328.5,54
36,2013,7,3.25,5.98333333333333,323.1,54
36,2013,8,3.45,6.36583333333333,381.95,60
36,2013,9,3.45,7.10147058823529,482.9,68
36,2013,10,3.45,7.225,462.4,64
36,2013,11,3.45,6.33495327102804,677.84,107
36,2013,12,3.45,6.21960784313726,634.4,102
37,2013,1,3.35,6.34617647058824,215.77,34
37,2013,2,3.25,5.92702702702703,219.3,37
37,2013,3,3.45,6.42941176470588,218.6,34
37,2013,4,3.25,5.67179487179487,221.2,39
37,2013,5,3.25,5.81883720930233,250.21,43
37,2013,6,3.25,8.38185185185185,226.31,27
37,2013,7,3.35,6.73888888888889,121.3,18
37,2013,8,3.55,5.35166666666667,160.55,30
37,2013,9,3.25,7.53125,241,32
37,2013,10,3.45,6.375,255,40
37,2013,11,4.05,7.57543859649123,431.8,57
37,2013,12,3.65,6.46470588235294,329.7,51
38,2013,1,3.85,7.63091954022989,663.89,87
38,2013,2,4.55,51.5031034482759,5974.36,116
38,2013,3,5.05,7.1441052631579,1357.38,190
38,2013,4,5.05,7.58779005524862,1373.39,181
38,2013,5,5.05,7.33782894736842,1115.35,152
38,2013,6,4.35,6.70411764705882,911.76,136
38,2013,7,3.45,5.52184466019417,568.75,103
38,2013,8,3.85,7.55661157024793,914.35,121
38,2013,9,5.45,6.97675159235669,1095.35,157
38,2013,10,5.05,12.5643258426966,2236.45,178
38,2013,11,5.05,7.68005319148936,1443.85,188
38,2013,12,5.15,7.50708737864078,1546.46,206
39,2013,1,3.45,6.09751196172249,1274.38,209
39,2013,2,3.85,6.643671875,1700.78,256
39,2013,3,4.05,6.87391167192429,2179.03,317
39,2013,4,3.85,6.73297082228117,2538.33,377
39,2013,5,4.45,7.40603351955307,2651.36,358
39,2013,6,3.45,6.12061764705882,2081.01,340
39,2013,7,3.45,7.52268482490272,1933.33,257
39,2013,8,3.45,6.01140625,1923.65,320
39,2013,9,3.45,6.80311377245509,2272.24,334
39,2013,10,3.45,6.27316353887399,2339.89,373
39,2013,11,3.45,7.29565683646113,2721.28,373
39,2013,12,3.45,6.53140096618357,2704,414
40,2013,1,3.25,5.48888888888889,197.6,36
40,2013,2,4.45,8.14032258064516,252.35,31
40,2013,3,3.45,7.20785714285714,504.55,70
40,2013,4,3.45,8.5780487804878,351.7,41
40,2013,5,3.75,8.21190476190476,344.9,42
40,2013,6,3.45,10.334375,330.7,32
40,2013,7,3.25,4.69310344827586,136.1,29
40,2013,8,6.05,8.25102040816327,404.3,49
40,2013,9,3.95,6.75952380952381,283.9,42
40,2013,10,3.45,7.00875,280.35,40
40,2013,11,4.65,10.6992063492063,674.05,63
40,2013,12,4.25,7.88733333333333,591.55,75
41,2013,1,4.84,13.7749259624877,13954,1013
41,2013,2,5.05,7.39477186311787,7779.3,1052
41,2013,3,4.85,7.06110641891892,8360.35,1184
41,2013,4,4.95,7.65765988372093,10536.94,1376
41,2013,5,4.85,7.23283739837398,8896.39,1230
41,2013,6,5.05,12.9258091286307,15575.6,1205
41,2013,7,4.84,6.82209389671362,7265.53,1065
41,2013,8,4.65,6.36340206185567,7407,1164
41,2013,9,5.05,7.14297038327526,8200.13,1148
41,2013,10,5.05,6.69655737704918,11437.72,1708
41,2013,11,5.05,6.47758282208589,10558.46,1630
41,2013,12,4.85,8.37514483627204,13299.73,1588
42,2013,1,3.25,8.93579545454545,786.35,88
42,2013,2,3.25,8.60570247933884,1041.29,121
42,2013,3,3.55,8.39895833333333,1209.45,144
42,2013,4,3.85,8.62916666666667,1242.6,144
42,2013,5,4.05,9.48490683229814,1527.07,161
42,2013,6,3.45,7.795390625,997.81,128
42,2013,7,3.45,7.10810810810811,789,111
42,2013,8,3.45,7.93525179856115,1103,139
42,2013,9,3.25,9.77183098591549,1387.6,142
42,2013,10,3.45,10.5141509433962,1671.75,159
42,2013,11,3.65,10.0862427745665,1744.92,173
42,2013,12,3.45,8.82583732057416,1844.6,209
43,2013,1,3.25,5.72428571428571,1041.82,182
43,2013,2,4.25,41.1764257028112,10252.93,249
43,2013,3,4.05,8.31308,2078.27,250
43,2013,4,3.65,10.9062151394422,2737.46,251
43,2013,5,3.25,7.88721088435374,2318.84,294
43,2013,6,3.25,6.64066666666667,1394.54,210
43,2013,7,3.45,7.70156756756757,1424.79,185
43,2013,8,3.85,7.40338645418327,1858.25,251
43,2013,9,4.05,8.24366515837104,1821.85,221
43,2013,10,3.45,7.27160493827161,1767,243
43,2013,11,4.25,8.07764423076923,1680.15,208
43,2013,12,4.15,7.73185483870968,1917.5,248
44,2013,1,5.05,10.8723157894737,1032.87,95
44,2013,2,3.85,8.33715384615385,1083.83,130
44,2013,3,5.85,10.1867153284672,1395.58,137
44,2013,4,7.05,13.94768,1743.46,125
44,2013,5,4.45,9.392,1174,125
44,2013,6,4.25,10.8596774193548,1009.95,93
44,2013,7,3.45,7.33081632653061,718.42,98
44,2013,8,3.45,7.51237288135593,886.46,118
44,2013,9,3.65,7.74879746835443,1224.31,158
44,2013,10,3.65,8.39221476510067,1250.44,149
44,2013,11,5.05,8.39995867768595,2032.79,242
44,2013,12,5.05,8.25416666666667,1782.9,216
45,2013,1,3.45,8.135,81.35,10
45,2013,2,3.25,8.19478260869565,188.48,23
45,2013,3,3.85,9.45,264.6,28
45,2013,4,3.65,8.7496,218.74,25
45,2013,5,8.05,15.4,462,30
45,2013,6,3.45,13.0233333333333,195.35,15
45,2013,7,3.25,10.8777777777778,97.9,9
45,2013,8,4.84,7.10823529411765,120.84,17
45,2013,9,3.65,10.1064102564103,394.15,39
45,2013,10,3.25,8.62896551724138,250.24,29
45,2013,11,3.65,9.94230769230769,258.5,26
45,2013,12,3.25,11.9220588235294,405.35,34
46,2013,1,3.45,6.83939393939394,225.7,33
46,2013,2,3.45,9.45,349.65,37
