"","year","week","Side","V1","V2","V3"
"192",2015,22,"FarSouthwest",10.9,840,1
"193",2015,22,"North",54.55,3720,8
"194",2015,22,"Northwest",6.5,240,1
"195",2015,22,"South",8.65,420,1
"196",2015,22,"Southeast",6.975,300,1
"197",2015,22,"Southwest",9.1,180,1
"198",2015,22,"West",22.75,1320,4
"199",2015,23,"Central",291.8,21240,41
"200",2015,23,"FarNorth",38.5,2340,3
"201",2015,23,"FarSouthwest",10.925,240,1
"202",2015,23,"North",44.95,3000,6
"203",2015,23,"Northwest",6.5,300,1
"204",2015,23,"South",9.675,480,1
"205",2015,23,"Southeast",5.85,120,1
"206",2015,23,"Southwest",9.44,180,1
"207",2015,23,"West",21.35,1260,3
"208",2015,24,"Central",307.095,22860,43
"209",2015,24,"FarNorth",41.09,2520,4
"210",2015,24,"FarSouthwest",8.675,60,1
"211",2015,24,"North",53.5,3720,7
"212",2015,24,"Northwest",6.5,240,1
"213",2015,24,"South",8.45,420,1
"214",2015,24,"Southeast",6.6,180,1
"215",2015,24,"Southwest",8.85,120,1
"216",2015,24,"West",24.2,1440,4
"217",2015,25,"Central",289.6,20940,42
"218",2015,25,"FarNorth",41.75,2580,4
"219",2015,25,"FarSouthwest",10.825,180,1
"220",2015,25,"North",46.39,3060,7
"221",2015,25,"Northwest",6.5,240,1
"222",2015,25,"South",7.75,360,1
"223",2015,25,"Southeast",7.575,420,1
"224",2015,25,"Southwest",9.05,180,1
"225",2015,25,"West",25.85,1560,4
"226",2015,26,"Central",258.9,18720,37
"227",2015,26,"FarNorth",39.3,2520,3
"228",2015,26,"FarSouthwest",4.85,60,1
"229",2015,26,"North",42.775,2880,6
"230",2015,26,"Northwest",6.5,240,1
"231",2015,26,"South",7.45,360,1
"232",2015,26,"Southeast",6.85,150,1
"233",2015,26,"Southwest",9.05,240,1
"234",2015,26,"West",21.35,1260,3
"235",2015,27,"Central",264.225,19800,37
"236",2015,27,"FarNorth",35.8,2100,3
"237",2015,27,"FarSouthwest",3.65,30,1
"238",2015,27,"North",42.675,2760,6
"239",2015,27,"Northwest",6.5,240,1
"240",2015,27,"South",9.025,420,1
"241",2015,27,"Southeast",8.35,330,1
"242",2015,27,"Southwest",9.175,180,1
"243",2015,27,"West",21.1,1140,3
"244",2015,28,"Central",266.65,19800,38
"245",2015,28,"FarNorth",34.5,2040,3
"246",2015,28,"FarSouthwest",6.7,0,1
"247",2015,28,"North",42.9,2820,6
"248",2015,28,"Northwest",6.5,240,1
"249",2015,28,"South",8.675,420,1
"250",2015,28,"Southeast",9.3,360,1
"251",2015,28,"Southwest",9.25,180,1
"252",2015,28,"West",19.95,1140,3
"253",2015,29,"Central",248.15,18060,35.5
"254",2015,29,"FarNorth",35.125,2100,3
"255",2015,29,"FarSouthwest",6.25,60,1
"256",2015,29,"North",33.65,2100,5
"257",2015,29,"Northwest",6.65,240,1
"258",2015,29,"South",8.44,360,1
"259",2015,29,"Southeast",13.45,840,1
"260",2015,29,"Southwest",8.65,180,1
"261",2015,29,"West",21.35,1200,3
"262",2015,30,"Central",252.25,18300,36
"263",2015,30,"FarNorth",38.05,2220,3
"264",2015,30,"FarSouthwest",4.05,60,1
"265",2015,30,"North",40.54,2640,6
"266",2015,30,"Northwest",6.65,180,1
"267",2015,30,"South",7.75,360,1
"268",2015,30,"Southeast",7.15,270,1
"269",2015,30,"Southwest",8.5,120,1
"270",2015,30,"West",20.75,1200,3
"271",2015,31,"Central",272.05,20700,39
"272",2015,31,"FarNorth",37.275,2220,3
"273",2015,31,"FarSouthwest",6.45,60,1
"274",2015,31,"North",40.4,2640,6
"275",2015,31,"Northwest",6.85,240,1
"276",2015,31,"South",8.85,420,1
"277",2015,31,"Southeast",7.65,420,1
"278",2015,31,"Southwest",9.075,210,1
"279",2015,31,"West",22.4,1320,3
"280",2015,32,"Central",247.01,17640,36
"281",2015,32,"FarNorth",38.52,2280,3
"282",2015,32,"FarSouthwest",8.85,60,1
"283",2015,32,"North",43.75,2940,6
"284",2015,32,"Northwest",6.85,300,1
"285",2015,32,"South",8.25,360,1
"286",2015,32,"Southeast",10.1,390,1
"287",2015,32,"Southwest",8.5,120,1
"288",2015,32,"West",20.75,1200,3
"289",2015,33,"Central",254,18120,38
"290",2015,33,"FarNorth",39.3,2340,3
"291",2015,33,"FarSouthwest",3.55,0,1
"292",2015,33,"North",40.25,2700,6
"293",2015,33,"Northwest",6.65,300,1
"294",2015,33,"South",8.44,360,1
"295",2015,33,"Southeast",7.175,300,1
"296",2015,33,"Southwest",9.75,240,1
"297",2015,33,"West",20.55,1200,3
"298",2015,34,"Central",259.76,18180,38
"299",2015,34,"FarNorth",38.3,2340,3
"300",2015,34,"FarSouthwest",8.1,180,1
"301",2015,34,"North",42.5,2760,6
"302",2015,34,"Northwest",6.65,240,1
"303",2015,34,"South",8.65,480,1
"304",2015,34,"Southeast",6.9,180,1
"305",2015,34,"Southwest",8.3,120,1
"306",2015,34,"West",21.6,1260,3
"307",2015,35,"Central",224.665,15660,33.5
"308",2015,35,"FarNorth",36.5,2280,3
"309",2015,35,"FarSouthwest",7.35,180,1
"310",2015,35,"North",38.05,2460,5
"311",2015,35,"Northwest",6.65,240,1
"312",2015,35,"South",8.9,480,1
"313",2015,35,"Southeast",6.5,300,1
"314",2015,35,"Southwest",9.7,180,1
"315",2015,35,"West",19.95,1140,3
"316",2015,36,"Central",243,17160,36
"317",2015,36,"FarNorth",36.7,2220,3
"318",2015,36,"FarSouthwest",4.05,60,1
"319",2015,36,"North",37.7,2460,5
"320",2015,36,"Northwest",6.5,240,1
"321",2015,36,"South",9.7,540,1
"322",2015,36,"Southeast",6.85,390,1
"323",2015,36,"Southwest",8.85,240,1
"324",2015,36,"West",21.175,1200,3
"325",2015,37,"Central",229.8,16080,34
"326",2015,37,"FarNorth",38.55,2340,3
"327",2015,37,"FarSouthwest",6.25,120,1
"328",2015,37,"North",38.9,2520,5
"329",2015,37,"Northwest",6.85,300,1
"330",2015,37,"South",8.65,480,1
"331",2015,37,"Southeast",9.05,420,1
"332",2015,37,"Southwest",8.5,240,1
"333",2015,37,"West",23.15,1380,3
"334",2015,38,"Central",291.4,22200,40
"335",2015,38,"FarNorth",40.3,2460,3
"336",2015,38,"FarSouthwest",4.65,120,1
"337",2015,38,"North",39.6,2700,6
"338",2015,38,"Northwest",6.5,240,1
"339",2015,38,"South",8.65,480,1
"340",2015,38,"Southeast",6.5,300,1
"341",2015,38,"Southwest",8.85,180,1
"342",2015,38,"West",21.375,1320,3
"343",2015,39,"Central",228.45,15960,34
"344",2015,39,"FarNorth",37.5,2280,3
"345",2015,39,"FarSouthwest",6.45,60,1
"346",2015,39,"North",41.1,2760,6
"347",2015,39,"Northwest",6.475,240,1
"348",2015,39,"South",8.45,420,1
"349",2015,39,"Southeast",8.475,240,1
"350",2015,39,"Southwest",8.775,180,1
"351",2015,39,"West",19.3,1140,3
"352",2015,40,"Central",283.6,19980,41
"353",2015,40,"FarNorth",38.75,2340,3
"354",2015,40,"FarSouthwest",9.45,0,1
"355",2015,40,"North",32.45,2040,5
"356",2015,40,"Northwest",6.5,240,1
"357",2015,40,"South",8.05,420,1
"358",2015,40,"Southeast",7.775,270,1
"359",2015,40,"Southwest",8.5,120,1
"360",2015,40,"West",19.9,1140,3
"361",2015,41,"Central",259.15,18810,37
"362",2015,41,"FarNorth",37.045,2280,3
"363",2015,41,"FarSouthwest",6.25,60,1
"364",2015,41,"North",33.65,2100,5
"365",2015,41,"Northwest",6.85,300,1
"366",2015,41,"South",8.45,420,1
"367",2015,41,"Southeast",10.05,510,1
"368",2015,41,"Southwest",8.5,120,1
"369",2015,41,"West",19.75,1140,3
"370",2015,42,"Central",265.5,18900,38
"371",2015,42,"FarNorth",39.3,2400,3
"372",2015,42,"FarSouthwest",5.25,60,1
"373",2015,42,"North",39.55,2640,5
"374",2015,42,"Northwest",6.85,300,1
"375",2015,42,"South",8.05,420,1
"376",2015,42,"Southeast",9.05,360,1
"377",2015,42,"Southwest",8.5,180,1
"378",2015,42,"West",21.25,1200,3
"379",2015,43,"Central",258.24,18360,37
"380",2015,43,"FarNorth",37.3,2280,3
"381",2015,43,"FarSouthwest",17.35,60,1
"382",2015,43,"North",34.975,2220,5
"383",2015,43,"Northwest",7.25,300,1
"384",2015,43,"South",8.65,420,1
"385",2015,43,"Southeast",9.95,300,1
"386",2015,43,"Southwest",9.65,240,1
"387",2015,43,"West",20.55,1200,3
"388",2015,44,"Central",231.51,16260,34
"389",2015,44,"FarNorth",38.35,2340,3
"390",2015,44,"FarSouthwest",7.05,180,1
"391",2015,44,"North",40.55,2700,6
"392",2015,44,"Northwest",7.3,300,1
"393",2015,44,"South",7.55,360,1
"394",2015,44,"Southeast",6.5,90,1
"395",2015,44,"Southwest",9.05,240,1
"396",2015,44,"West",23.2,1380,3
"397",2015,45,"Central",257.035,18360,37
"398",2015,45,"FarNorth",37.9,2340,3
"399",2015,45,"FarSouthwest",8.1,540,1
"400",2015,45,"North",30.45,1920,4
"401",2015,45,"Northwest",6.7,240,1
"402",2015,45,"South",8.3,420,1
"403",2015,45,"Southeast",7.85,420,1
"404",2015,45,"Southwest",8.5,180,1
"405",2015,45,"West",20.55,1200,3
"406",2015,46,"Central",257.45,18420,37
"407",2015,46,"FarNorth",38.35,2340,3
"408",2015,46,"FarSouthwest",5.45,180,1
"409",2015,46,"North",30.05,1860,4
"410",2015,46,"Northwest",6.5,240,1
"411",2015,46,"South",7.85,420,1
"412",2015,46,"Southeast",6.5,180,1
"413",2015,46,"Southwest",8.5,180,1
"414",2015,46,"West",19.75,1140,3
"415",2015,47,"Central",256.5,18120,38
"416",2015,47,"FarNorth",38.95,2400,3
"417",2015,47,"FarSouthwest",6.35,90,1
"418",2015,47,"North",30.65,1920,5
"419",2015,47,"Northwest",6.65,300,1
"420",2015,47,"South",8.05,360,1
"421",2015,47,"Southeast",6.5,180,1
"422",2015,47,"Southwest",9.05,240,1
"423",2015,47,"West",21.35,1260,3
"424",2015,48,"Central",172.1,11700,25
"425",2015,48,"FarNorth",34.25,2100,3
"426",2015,48,"FarSouthwest",5.25,60,1
"427",2015,48,"North",24.4,1500,4
"428",2015,48,"Northwest",6.575,300,1
"429",2015,48,"South",9.25,480,1
"430",2015,48,"Southeast",6.85,240,1
"431",2015,48,"Southwest",9.45,300,1
"432",2015,48,"West",16.9,960,2
"433",2015,49,"Central",316.415,23040,45
"434",2015,49,"FarNorth",36.3,2220,3
"435",2015,49,"FarSouthwest",8.525,120,1
"436",2015,49,"North",33.45,2160,5
"437",2015,49,"Northwest",7.05,300,1
"438",2015,49,"South",8.65,420,1
"439",2015,49,"Southeast",8.95,390,1
"440",2015,49,"Southwest",8.615,90,1
"441",2015,49,"West",21.4,1260,3
"442",2015,50,"Central",259.825,18360,39
"443",2015,50,"FarNorth",34.7,2100,3
"444",2015,50,"FarSouthwest",4.45,60,1
"445",2015,50,"North",35.25,2340,5
"446",2015,50,"Northwest",6.875,300,1
"447",2015,50,"South",7.85,420,1
"448",2015,50,"Southeast",7.35,390,1
"449",2015,50,"Southwest",9.1,120,1
"450",2015,50,"West",21.95,1320,3
"451",2015,51,"Central",278.775,19560,42
"452",2015,51,"FarNorth",33.625,1980,3
"453",2015,51,"FarSouthwest",6.75,150,1
"454",2015,51,"North",36.1,2220,5
"455",2015,51,"Northwest",6.65,300,1
"456",2015,51,"South",8.25,420,1
"457",2015,51,"Southeast",10.45,540,1
"458",2015,51,"Southwest",9.75,180,1
"459",2015,51,"West",23.95,1380,4
"460",2015,52,"Central",153.9,10620,24
"461",2015,52,"FarNorth",30.85,1740,3
"462",2015,52,"FarSouthwest",13.525,690,1
"463",2015,52,"North",20.55,1140,3
"464",2015,52,"Northwest",7.575,360,1
"465",2015,52,"South",9.25,480,1
"466",2015,52,"Southeast",9.75,600,1
"467",2015,52,"Southwest",11.45,360,1
"468",2015,52,"West",15.725,900,2
"469",2015,53,"Central",132.2,9600,20
"470",2015,53,"FarNorth",27.75,1620,2
"471",2015,53,"FarSouthwest",3.65,0,1
"472",2015,53,"North",18.35,1140,3
"473",2015,53,"Northwest",6.5,240,1
"474",2015,53,"South",8.15,480,1
"475",2015,53,"Southeast",9.275,450,1
"476",2015,53,"Southwest",9.65,300,1
"477",2015,53,"West",14.7,840,2
