community,year,week,median,mean,sum,count
4,2013,11,4.25,5.807690678,2741.23,472
4,2013,12,4.65,6.195682327,2769.47,447
4,2013,13,4.65,13.75490132,4181.49,304
4,2013,14,4.65,6.191611374,2612.86,422
4,2013,15,4.65,7.766086957,3393.78,437
4,2013,16,4.65,8.415393258,3744.85,445
4,2013,17,4.65,6.961898148,3007.54,432
4,2013,18,4.45,5.907245658,2380.62,403
4,2013,19,4.65,5.710705882,1941.64,340
4,2013,20,4.55,9.721489362,3655.28,376
4,2013,21,4.45,6.175090498,2729.39,442
4,2013,22,4.84,6.464989429,3057.94,473
4,2013,23,4.65,5.998004695,2555.15,426
4,2013,24,4.65,5.912798982,2323.73,393
4,2013,25,4.45,6.837058824,3370.67,493
4,2013,26,4.45,6.235152749,3061.46,491
4,2013,27,4.45,7.795296912,3281.82,421
4,2013,28,4.25,5.487772277,2217.06,404
4,2013,29,4.25,8.760392157,4021.02,459
4,2013,30,4.05,7.961064356,3216.27,404
4,2013,31,4.25,5.446644295,2434.65,447
4,2013,32,4.45,11.93460648,5155.75,432
4,2013,33,3.85,4.981738281,2550.65,512
4,2013,34,4.25,5.178473804,2273.35,439
4,2013,35,4.05,5.72472155,2364.31,413
4,2013,36,4.65,5.480818363,2745.89,501
4,2013,37,4.25,5.920693512,2646.55,447
4,2013,38,4.25,5.645902004,2535.01,449
4,2013,39,4.15,6.754247967,3323.09,492
4,2013,40,4.45,5.375375854,2359.79,439
4,2013,41,4.15,5.826753247,2691.96,462
4,2013,42,4.25,5.611574279,2530.82,451
4,2013,43,4.25,5.571829787,2618.76,470
4,2013,44,4.45,5.54382716,2694.3,486
4,2013,45,4.25,4.999390476,2624.68,525
4,2013,46,4.25,5.930151515,2739.73,462
4,2013,47,4.45,5.566862745,2839.1,510
4,2013,48,4.45,6.714382716,3263.19,486
4,2013,49,4.45,5.418181818,3158.8,583
4,2013,50,4.65,5.965520505,3782.14,634
4,2013,51,4.45,5.935384615,3240.72,546
4,2013,52,4.65,5.746666667,2568.76,447
5,2013,1,4.45,5.736242775,2977.11,519
5,2013,2,4.65,6.590726073,1996.99,303
5,2013,3,4.65,5.929275362,2045.6,345
5,2013,4,3.45,8.189614644,4250.41,519
5,2013,5,4.05,5.559574468,2351.7,423
5,2013,6,4.05,4.990288714,1901.3,381
5,2013,7,4.25,5.56872549,2840.05,510
5,2013,8,4.25,5.483514644,2621.12,478
5,2013,9,4.45,6.201287129,3131.65,505
5,2013,10,4.45,7.984189815,3449.17,432
5,2013,11,4.65,6.616717268,3487.01,527
5,2013,12,4.45,6.827690583,3045.15,446
5,2013,13,4.05,5.553506494,1710.48,308
5,2013,14,4.65,6.251470588,2550.6,408
5,2013,15,4.65,7.344658824,3121.48,425
5,2013,16,4.45,6.478250591,2740.3,423
5,2013,17,4.65,6.839152542,2824.57,413
5,2013,18,4.45,6.068844221,2415.4,398
5,2013,19,4.25,7.674383562,3361.38,438
5,2013,20,4.45,6.077085202,2710.38,446
5,2013,21,4.45,9.563578199,4035.83,422
5,2013,22,4.45,6.186472946,3087.05,499
5,2013,23,4.45,6.292597623,3706.34,589
5,2013,24,4.25,5.656674817,2313.58,409
5,2013,25,3.85,5.368074246,2313.64,431
5,2013,26,4.25,5.214846293,2883.81,553
5,2013,27,4.45,5.711036585,1873.22,328
5,2013,28,4.45,5.52008547,2583.4,468
5,2013,29,4.05,5.272667984,2667.97,506
5,2013,30,3.85,5.635817308,2344.5,416
5,2013,31,3.85,6.708924205,2743.95,409
5,2013,32,4.45,5.696674009,2586.29,454
5,2013,33,4.345,5.385302198,1960.25,364
5,2013,34,4.05,5.265149864,1932.31,367
5,2013,35,4.05,6.102783251,2477.73,406
5,2013,36,4.45,5.58608802,2284.71,409
5,2013,37,4.15,5.097486911,1947.24,382
5,2013,38,4.45,6.689658793,2548.76,381
5,2013,39,4.25,5.469904077,2280.95,417
5,2013,40,4.25,5.65959276,2501.54,442
5,2013,41,4.05,5.57383592,2513.8,451
5,2013,42,4.45,6.112902439,2506.29,410
5,2013,43,4.25,5.757121535,2700.09,469
5,2013,44,4.25,5.470783505,2653.33,485
5,2013,45,4.05,5.258418891,2560.85,487
5,2013,46,4.25,5.363159851,2885.38,538
5,2013,47,4.45,5.486941176,2798.34,510
5,2013,48,4.25,5.303042394,2126.52,401
5,2013,49,4.05,5.004153298,2807.33,561
5,2013,50,4.45,5.66122449,3606.2,637
5,2013,51,4.25,5.273399668,3179.86,603
5,2013,52,4.25,5.483691932,2242.83,409
6,2013,1,5.25,6.567156059,81721.69,12444
6,2013,2,5.25,5.695878136,44496.2,7812
6,2013,3,5.25,6.076597248,49019.91,8067
6,2013,4,5.25,8.92995237,80619.61,9028
6,2013,5,5.25,6.360568619,59509.48,9356
6,2013,6,5.25,7.467287905,60380.49,8086
6,2013,7,5.25,6.836827411,67342.75,9850
6,2013,8,5.25,6.488891736,60774.96,9366
6,2013,9,5.25,10.08577306,94130.52,9333
6,2013,10,5.25,6.846042978,63079.44,9214
6,2013,11,5.45,6.330413048,86745.65,13703
6,2013,12,5.25,6.693592917,62745.74,9374
6,2013,13,5.25,7.112933184,50779.23,7139
6,2013,14,5.25,6.682781929,59022.33,8832
6,2013,15,5.45,6.77854151,72177.91,10648
6,2013,16,5.45,11.46932065,110919.8,9671
6,2013,17,5.45,10.06175003,87507.04,8697
6,2013,18,5.45,6.741043297,68037.35,10093
6,2013,19,5.25,6.834235145,59464.68,8701
6,2013,20,5.45,6.540275355,66743.51,10205
6,2013,21,5.45,7.690695378,73215.42,9520
6,2013,22,5.45,10.48265874,111933.83,10678
6,2013,23,5.45,6.571143542,60336.24,9182
6,2013,24,5.45,6.678425691,60620.07,9077
6,2013,25,5.45,6.734381339,66401,9860
6,2013,26,5.45,9.517492016,107281.17,11272
6,2013,27,5.45,7.323205282,73202.76,9996
6,2013,28,5.45,7.651922248,74598.59,9749
6,2013,29,5.45,6.265966939,66713.75,10647
6,2013,30,5.25,9.074080744,77093.39,8496
6,2013,31,5.45,6.785934853,72914.87,10745
6,2013,32,5.45,6.118181625,57535.38,9404
6,2013,33,5.45,7.603841699,78775.8,10360
6,2013,34,5.45,5.895059625,55366.4,9392
6,2013,35,5.45,6.945365066,66682.45,9601
6,2013,36,5.45,6.376609405,66444.27,10420
6,2013,37,5.45,5.816424698,55767.88,9588
6,2013,38,5.45,5.822724046,59059.89,10143
6,2013,39,5.45,5.831705465,59121.83,10138
6,2013,40,5.25,5.761042288,52177.76,9057
6,2013,41,5.25,5.691537617,51821.45,9105
6,2013,42,5.25,7.062930195,69612.24,9856
6,2013,43,5.45,6.125597339,71834.88,11727
6,2013,44,5.45,6.192191173,75340.39,12167
6,2013,45,5.25,5.677528779,60170.45,10598
6,2013,46,5.25,6.009451699,67185.67,11180
6,2013,47,5.25,6.605793451,78675,11910
6,2013,48,5.25,5.751752852,53945.69,9379
6,2013,49,5.25,5.728518951,68616.2,11978
6,2013,50,5.45,5.840265865,80619.03,13804
6,2013,51,5.25,5.972226339,67707.13,11337
6,2013,52,5.25,8.851034404,77437.7,8749
7,2013,1,5.25,7.147630822,54636.49,7644
7,2013,2,5.25,5.707173541,30025.44,5261
7,2013,3,5.25,7.234708907,39392.99,5445
7,2013,4,5.25,8.416645048,48016.96,5705
7,2013,5,5.25,8.489782049,49469.96,5827
7,2013,6,5.25,6.387248272,34190.94,5353
7,2013,7,5.25,5.700285714,38305.92,6720
7,2013,8,5.25,8.181618112,49146.98,6007
7,2013,9,5.25,7.466228834,45417.07,6083
7,2013,10,5.45,5.964734228,36021.03,6039
7,2013,11,5.45,6.995853335,58002.62,8291
7,2013,12,5.25,7.24373843,42259.97,5834
7,2013,13,5.25,7.322330776,32452.57,4432
7,2013,14,5.25,6.00759938,34910.16,5811
7,2013,15,5.25,7.376470884,44081.79,5976
7,2013,16,5.25,10.60084619,62513.19,5897
7,2013,17,5.45,10.85630593,64301.9,5923
7,2013,18,5.45,5.880535073,36047.68,6130
7,2013,19,5.25,7.232468468,40140.2,5550
7,2013,20,5.45,6.328441473,38331.37,6057
7,2013,21,5.45,9.107633575,56421.79,6195
7,2013,22,5.45,10.50948824,71054.65,6761
7,2013,23,5.65,6.292385166,44795.49,7119
7,2013,24,5.45,6.062561185,38891.33,6415
7,2013,25,5.45,10.64231293,74953.81,7043
7,2013,26,5.45,5.965710774,41252.89,6915
7,2013,27,5.65,7.137672717,48764.58,6832
7,2013,28,5.45,6.041902864,40927.85,6774
7,2013,29,5.65,6.379575601,44344.43,6951
7,2013,30,5.45,8.5785116,56944.16,6638
7,2013,31,5.45,6.021988942,39209.17,6511
7,2013,32,5.45,5.909435816,37288.54,6310
7,2013,33,5.45,5.966009001,41093.87,6888
7,2013,34,5.45,7.371793947,47009.93,6377
7,2013,35,5.45,6.282264763,38723.88,6164
7,2013,36,5.45,7.006576577,46663.8,6660
7,2013,37,5.45,5.722033875,41553.41,7262
7,2013,38,5.45,5.844920683,38319.3,6556
7,2013,39,5.45,5.828069897,36687.7,6295
7,2013,40,5.45,5.891935867,39688.08,6736
7,2013,41,5.45,5.754381682,36062.71,6267
7,2013,42,5.45,6.252349719,42228.37,6754
7,2013,43,5.45,5.929113073,44990.11,7588
7,2013,44,5.25,5.695415381,44287.55,7776
7,2013,45,5.25,5.642608124,42923.32,7607
7,2013,46,5.25,6.302859236,47328.17,7509
7,2013,47,5.25,5.685470818,45102.84,7933
7,2013,48,5.25,5.876405864,35675.66,6071
7,2013,49,5.45,5.727102266,46761.79,8165
7,2013,50,5.45,5.854668314,47393.54,8095
7,2013,51,5.25,5.741709583,43258.04,7534
7,2013,52,5.25,5.903860215,32943.54,5580
8,2013,1,5.45,6.391859723,302558.68,47335
8,2013,2,5.45,6.276057025,200745.96,31986
8,2013,3,5.45,6.298837771,232068.08,36843
8,2013,4,5.45,6.822753609,280258.25,41077
8,2013,5,5.45,7.453321497,289673.34,38865
8,2013,6,5.45,8.584827604,330155.3,38458
8,2013,7,5.45,6.680627056,286378.44,42867
8,2013,8,5.45,7.912868546,357859.48,45225
8,2013,9,5.45,6.396609156,279173.61,43644
8,2013,10,5.45,6.027283537,249903.23,41462
8,2013,11,5.45,7.736122554,389854.16,50394
8,2013,12,5.45,7.484467998,367188,49060
8,2013,13,5.45,9.549849421,360229.87,37721
8,2013,14,5.45,7.352710469,320614.94,43605
8,2013,15,5.45,7.313439694,334407.03,45725
8,2013,16,5.45,7.476713899,367772.08,49189
8,2013,17,5.45,8.521781554,387689.93,45494
8,2013,18,5.45,6.45045662,284084.56,44041
8,2013,19,5.45,7.134871975,325464.32,45616
8,2013,20,5.65,6.665249006,320271.88,48051
8,2013,21,5.65,7.86277768,403006.67,51255
8,2013,22,5.45,6.56537604,301521.46,45926
8,2013,23,5.65,6.56929089,346293.6,52714
8,2013,24,5.65,6.717596284,363670.51,54137
8,2013,25,5.65,7.087497898,345636.01,48767
8,2013,26,5.65,7.398617762,368636.13,49825
8,2013,27,5.65,6.360840972,277587.1,43640
8,2013,28,5.65,7.640244436,373829.52,48929
8,2013,29,5.65,6.478188922,355659.05,54901
8,2013,30,5.65,7.069179633,353473.12,50002
8,2013,31,5.65,6.452261768,314715.52,48776
8,2013,32,5.65,6.020019196,301067.18,50011
8,2013,33,5.65,6.779334917,345346.1,50941
8,2013,34,5.65,6.797511015,351757.6,51748
8,2013,35,5.65,6.075320439,316621.4,52116
8,2013,36,5.45,6.170772186,266589.7,43202
8,2013,37,5.45,5.946597107,316596.83,53240
8,2013,38,5.65,6.206249184,351826.06,56689
8,2013,39,5.65,6.097922381,319275.02,52358
8,2013,40,5.45,6.311771309,348031.07,55140
8,2013,41,5.65,6.215527413,346005.98,55668
8,2013,42,5.65,6.701745397,392414,58554
8,2013,43,5.45,6.152783742,350745.59,57006
8,2013,44,5.45,5.932311804,339648.58,57254
8,2013,45,5.65,6.16461565,357671,58020
8,2013,46,5.45,6.130435479,371222.39,60554
8,2013,47,5.45,6.129376798,364299.51,59435
8,2013,48,5.45,6.351355113,295700.04,46557
8,2013,49,5.45,6.732356415,476495.99,70777
8,2013,50,5.45,6.072802756,413302.81,68058
8,2013,51,5.45,6.395256691,397631.48,62176
8,2013,52,5.45,6.590827949,285620.12,43336
9,2013,1,3.25,3.25,16.25,5
9,2013,2,3.25,3.65,10.95,3
9,2013,3,3.25,3.25,6.5,2
9,2013,4,3.65,5.65,28.25,5
9,2013,5,3.35,6.225,49.8,8
9,2013,6,16.25,12.11666667,36.35,3
9,2013,7,3.25,3.25,3.25,1
9,2013,8,14.65,14.65,29.3,2
9,2013,9,3.45,11.97,59.85,5
9,2013,10,4.55,9.1,36.4,4
9,2013,11,29.85,57.15,285.75,5
9,2013,12,9.44,16.36285714,114.54,7
9,2013,13,3.35,9.15,54.9,6
9,2013,14,26.75,22.1875,88.75,4
9,2013,15,4.25,8.8,35.2,4
9,2013,16,3.35,3.35,6.7,2
9,2013,17,3.45,3.45,6.9,2
9,2013,18,5.05,11.45,34.35,3
9,2013,19,35,35,35,1
9,2013,20,3.25,3.716666667,11.15,3
9,2013,21,2.45,4.625,74,16
9,2013,22,3.25,3.25,3.25,1
9,2013,23,3.25,2.916666667,8.75,3
9,2013,24,3.25,6.108333333,36.65,6
9,2013,25,3.65,10.33571429,72.35,7
9,2013,26,26.625,26.625,53.25,2
9,2013,27,3.25,3.65,14.6,4
9,2013,28,3.25,3.25,6.5,2
9,2013,29,4.45,4.45,4.45,1
9,2013,30,3.45,6.21,31.05,5
9,2013,31,3.25,7.15,42.9,6
9,2013,32,15.85,19.7,59.1,3
9,2013,33,8.65,14.98333333,44.95,3
9,2013,34,3.85,3.85,3.85,1
9,2013,35,22.65,22.65,22.65,1
9,2013,36,3.25,5.93,29.65,5
9,2013,37,5.65,12.129,121.29,10
9,2013,38,26.45,26.45,26.45,1
9,2013,39,3.65,3.783333333,11.35,3
9,2013,40,3.55,5.175,31.05,6
9,2013,41,3.85,3.85,11.55,3
9,2013,42,3.25,3.25,9.75,3
9,2013,43,6.75,6.75,13.5,2
9,2013,44,3.25,6.916666667,41.5,6
9,2013,45,3.25,6.15,36.9,6
9,2013,46,26.45,19.78333333,59.35,3
9,2013,47,3.25,3.392857143,23.75,7
9,2013,48,3.25,8.307142857,58.15,7
9,2013,49,14.75,14.75,29.5,2
9,2013,50,4.25,9.804,49.02,5
9,2013,51,4.95,6.45,38.7,6
9,2013,52,5.95,12.75,51,4
10,2013,1,3.45,5.169298246,294.65,57
10,2013,2,3.35,6.467291667,310.43,48
10,2013,3,3.25,7.822692308,406.78,52
10,2013,4,3.25,27.88978723,1310.82,47
10,2013,5,3.65,6.671774194,413.65,62
10,2013,6,3.25,5.921,296.05,50
10,2013,7,3.45,6.845961538,355.99,52
10,2013,8,3.25,5.421967213,330.74,61
10,2013,9,3.45,7.939880952,666.95,84
10,2013,10,3.25,6.474814815,524.46,81
10,2013,11,3.25,7.075362319,488.2,69
10,2013,12,3.25,7.364512195,603.89,82
10,2013,13,3.25,12.08767857,676.91,56
10,2013,14,3.25,8.104677419,502.49,62
10,2013,15,3.25,60.51905405,4478.41,74
10,2013,16,3.25,7.115432099,576.35,81
10,2013,17,3.25,8.490425532,798.1,94
10,2013,18,3.25,7.501707317,615.14,82
10,2013,19,3.25,9.455072464,652.4,69
10,2013,20,3.25,10.7344186,923.16,86
10,2013,21,3.65,8.214202899,566.78,69
10,2013,22,3.25,9.171754386,522.79,57
10,2013,23,3.25,7.478870968,463.69,62
10,2013,24,3.25,7.643838384,756.74,99
10,2013,25,4.75,6.489473684,493.2,76
10,2013,26,3.45,6.965,557.2,80
10,2013,27,3.25,5.769782609,265.41,46
10,2013,28,3.25,10.255,758.87,74
10,2013,29,3.25,55.38875,4431.1,80
10,2013,30,3.45,6.770246914,548.39,81
10,2013,31,3.55,6.6736,333.68,50
10,2013,32,3.65,9.148554217,759.33,83
10,2013,33,3.25,6.084431818,535.43,88
10,2013,34,3.25,6.511184211,494.85,76
10,2013,35,3.25,7.2140625,461.7,64
10,2013,36,3.25,6.460925926,348.89,54
10,2013,37,3.35,6.5,507,78
10,2013,38,3.35,9.793571429,685.55,70
10,2013,39,3.25,5.339240506,421.8,79
10,2013,40,3.25,6.721232877,490.65,73
10,2013,41,3.25,6.775666667,406.54,60
10,2013,42,3.25,6.562650602,544.7,83
10,2013,43,3.25,7.171318681,652.59,91
10,2013,44,4.35,8.325581395,716,86
10,2013,45,3.25,5.171971831,367.21,71
10,2013,46,3.25,9.488734177,749.61,79
10,2013,47,3.25,6.089324324,450.61,74
10,2013,48,3.25,5.735,401.45,70
10,2013,49,3.25,6.938659794,673.05,97
10,2013,50,4.45,8.773247863,1026.47,117
10,2013,51,3.25,6.658247423,645.85,97
10,2013,52,3.45,7.171454545,394.43,55
11,2013,1,3.25,5.095022422,1136.19,223
11,2013,2,3.25,4.033209877,653.38,162
11,2013,3,3.25,5.165696721,1260.43,244
11,2013,4,3.25,4.47154185,1015.04,227
11,2013,5,3.25,4.961239669,1200.62,242
11,2013,6,3.25,5.325714286,1081.12,203
11,2013,7,3.25,5.520895522,1109.7,201
11,2013,8,3.25,4.348156863,1108.78,255
11,2013,9,3.25,7.782334802,1766.59,227
11,2013,10,3.25,4.4212,994.77,225
11,2013,11,3.25,4.985870968,1545.62,310
11,2013,12,3.25,4.150955631,1216.23,293
11,2013,13,3.25,5.149402985,1380.04,268
11,2013,14,3.25,9.862905028,1765.46,179
11,2013,15,3.25,6.172790698,1061.72,172
11,2013,16,3.25,8.807288136,2078.52,236
11,2013,17,3.25,5.470600858,1274.65,233
11,2013,18,3.25,7.690927419,1907.35,248
11,2013,19,3.25,5.319663866,1266.08,238
11,2013,20,3.25,5.213253012,865.4,166
11,2013,21,3.45,6.895195531,1234.24,179
11,2013,22,3.25,5.758192771,955.86,166
11,2013,23,3.25,5.414813084,1158.77,214
11,2013,24,3.25,6.542654867,1478.64,226
11,2013,25,3.25,5.694054054,1053.4,185
11,2013,26,3.25,5.389545455,1185.7,220
11,2013,27,3.25,4.45,560.7,126
11,2013,28,3.25,5.214255319,980.28,188
11,2013,29,3.25,5.012328767,1097.7,219
11,2013,30,3.25,4.809534884,827.24,172
11,2013,31,3.25,4.490493827,727.46,162
11,2013,32,3.25,7.232105263,1236.69,171
11,2013,33,3.25,4.460595238,749.38,168
11,2013,34,3.25,5.485428571,959.95,175
11,2013,35,3.25,6.778680203,1335.4,197
11,2013,36,3.25,6.007197802,1093.31,182
11,2013,37,3.25,9.336158192,1652.5,177
11,2013,38,3.25,5.949942857,1041.24,175
11,2013,39,3.25,5.992392638,976.76,163
11,2013,40,3.25,4.925151515,812.65,165
11,2013,41,3.25,5.353111111,963.56,180
11,2013,42,3.25,11.62917098,2244.43,193
11,2013,43,3.25,4.877687861,843.84,173
11,2013,44,3.25,5.010516432,1067.24,213
11,2013,45,3.25,5.434105263,1032.48,190
11,2013,46,3.25,7.47745098,1525.4,204
11,2013,47,3.25,6.327142857,1240.12,196
11,2013,48,3.25,5.668647059,963.67,170
11,2013,49,3.25,5.130625,1149.26,224
11,2013,50,3.25,6.56025974,1515.42,231
11,2013,51,3.25,5.641230159,1421.59,252
11,2013,52,3.25,5.269958678,1275.33,242
12,2013,1,3.45,5.433513514,201.04,37
12,2013,2,3.25,3.964893617,186.35,47
12,2013,3,3.45,5.459210526,207.45,38
12,2013,4,3.85,4.401956522,202.49,46
12,2013,5,3.25,4.134821429,231.55,56
12,2013,6,3.45,5.16244898,252.96,49
12,2013,7,4.05,4.52,167.24,37
12,2013,8,3.85,6.049761905,254.09,42
12,2013,9,3.65,8.067254902,411.43,51
12,2013,10,3.45,4.075384615,158.94,39
12,2013,11,3.35,6.008333333,288.4,48
12,2013,12,3.25,3.973076923,154.95,39
