"","year","hour","Side","V1","V2","V3"
"94",2014,"3 AM","North",140.625,8460,21
"95",2014,"3 AM","Northwest",9.65,480,1
"96",2014,"3 AM","South",8.45,360,1
"97",2014,"3 AM","Southeast",7.5,300,1
"98",2014,"3 AM","Southwest",9.85,360,1
"99",2014,"3 AM","West",42.29,2220,6
"100",2014,"3 PM","Central",707.51,50100,103
"101",2014,"3 PM","FarNorth",90.95,6000,7
"102",2014,"3 PM","FarSouthwest",4.15,60,1
"103",2014,"3 PM","North",78.8,5640,11
"104",2014,"3 PM","Northwest",8.3,240,1
"105",2014,"3 PM","South",10.3,540,1
"106",2014,"3 PM","Southeast",12.375,660,1
"107",2014,"3 PM","Southwest",8.875,180,1
"108",2014,"3 PM","West",40,2400,6
"109",2014,"4 AM","Central",74.7,4260,12
"110",2014,"4 AM","FarNorth",35.345,1740,4
"111",2014,"4 AM","FarSouthwest",8.85,60,1
"112",2014,"4 AM","North",70.95,4140,11
"113",2014,"4 AM","Northwest",9.05,420,1
"114",2014,"4 AM","South",7.675,360,1
"115",2014,"4 AM","Southeast",8.85,300,1
"116",2014,"4 AM","Southwest",15.5,360,1
"117",2014,"4 AM","West",28.25,1440,4
"118",2014,"4 PM","Central",715.755,52020,104
"119",2014,"4 PM","FarNorth",93.75,6480,8
"120",2014,"4 PM","FarSouthwest",7.1,360,1
"121",2014,"4 PM","North",89.15,6360,12
"122",2014,"4 PM","Northwest",7.85,240,1
"123",2014,"4 PM","South",10.25,540,1
"124",2014,"4 PM","Southeast",8.85,480,1
"125",2014,"4 PM","Southwest",10,300,1
"126",2014,"4 PM","West",43.75,2700,6
"127",2014,"5 AM","Central",44.1,2340,7
"128",2014,"5 AM","FarNorth",44.75,2100,4
"129",2014,"5 AM","FarSouthwest",5.65,120,1
"130",2014,"5 AM","North",35.475,1920,5
"131",2014,"5 AM","Northwest",8.37,360,1
"132",2014,"5 AM","South",6.85,300,1
"133",2014,"5 AM","Southeast",6.9,240,1
"134",2014,"5 AM","Southwest",23.15,480,1
"135",2014,"5 AM","West",19.35,960,3
"136",2014,"5 PM","Central",774.05,58620,111
"137",2014,"5 PM","FarNorth",98.92,6840,8
"138",2014,"5 PM","FarSouthwest",10,60,1
"139",2014,"5 PM","North",101.7,7500,14
"140",2014,"5 PM","Northwest",8.45,240,1
"141",2014,"5 PM","South",10.7,600,1
"142",2014,"5 PM","Southeast",9.15,300,1
"143",2014,"5 PM","Southwest",9.75,360,1
"144",2014,"5 PM","West",56.875,3720,8
"145",2014,"6 AM","Central",50.225,2700,8
"146",2014,"6 AM","FarNorth",56.05,2700,4
"147",2014,"6 AM","FarSouthwest",5.45,0,1
"148",2014,"6 AM","North",23.7,1260,4
"149",2014,"6 AM","Northwest",7.9,240,1
"150",2014,"6 AM","South",8.05,360,1
"151",2014,"6 AM","Southeast",6.5,60,1
"152",2014,"6 AM","Southwest",20.5,360,1
"153",2014,"6 AM","West",16.35,780,2
"154",2014,"6 PM","Central",942.15,74400,133
"155",2014,"6 PM","FarNorth",100.9,7080,9
"156",2014,"6 PM","FarSouthwest",7.4,210,1
"157",2014,"6 PM","North",144.8,10680,20
"158",2014,"6 PM","Northwest",8.45,300,1
"159",2014,"6 PM","South",10.1,540,1
"160",2014,"6 PM","Southeast",9.25,420,1
"161",2014,"6 PM","Southwest",9.9,360,1
"162",2014,"6 PM","West",83.025,5640,12
"163",2014,"7 AM","Central",144.05,8400,22
"164",2014,"7 AM","FarNorth",63.3,3540,5
"165",2014,"7 AM","FarSouthwest",6.25,0,1
"166",2014,"7 AM","North",30.65,1800,4
"167",2014,"7 AM","Northwest",7.05,120,1
"168",2014,"7 AM","South",10.475,540,1
"169",2014,"7 AM","Southeast",5.55,60,1
"170",2014,"7 AM","Southwest",11.1,240,1
"171",2014,"7 AM","West",23.8,1260,4
"172",2014,"7 PM","Central",942.9,69090,140
"173",2014,"7 PM","FarNorth",104.6,7080,9
"174",2014,"7 PM","FarSouthwest",7.85,120,1
"175",2014,"7 PM","North",205.68,15000,28
"176",2014,"7 PM","Northwest",7.85,360,1
"177",2014,"7 PM","South",9.75,480,1
"178",2014,"7 PM","Southeast",8.945,390,1
"179",2014,"7 PM","Southwest",9.05,300,1
"180",2014,"7 PM","West",94,5940,14
"181",2014,"8 AM","Central",376.955,25200,56
"182",2014,"8 AM","FarNorth",62.25,3780,5
"183",2014,"8 AM","FarSouthwest",7.45,240,1
"184",2014,"8 AM","North",40.05,2520,6
"185",2014,"8 AM","Northwest",6.7,180,1
"186",2014,"8 AM","South",11.25,600,1
"187",2014,"8 AM","Southeast",6.875,90,1
"188",2014,"8 AM","Southwest",10.7,60,2
"189",2014,"8 AM","West",38.625,2220,6
"190",2014,"8 PM","Central",771.4,51900,119
"191",2014,"8 PM","FarNorth",105,6780,10
"192",2014,"8 PM","FarSouthwest",8.25,0,1
"193",2014,"8 PM","North",224.4,15600,32
"194",2014,"8 PM","Northwest",7.375,360,1
"195",2014,"8 PM","South",9.45,480,1
"196",2014,"8 PM","Southeast",6.85,180,1
"197",2014,"8 PM","Southwest",9.9,420,1
"198",2014,"8 PM","West",83.04,4860,12
"199",2014,"9 AM","Central",617.32,45240,88
"200",2014,"9 AM","FarNorth",64.5,3720,6
"201",2014,"9 AM","FarSouthwest",6.375,150,1
"202",2014,"9 AM","North",42.525,2700,6
"203",2014,"9 AM","Northwest",6.9,180,1
"204",2014,"9 AM","South",10.9,600,1
"205",2014,"9 AM","Southeast",9.3,300,1
"206",2014,"9 AM","Southwest",9.05,60,2
"207",2014,"9 AM","West",46.1,2760,7
"208",2014,"9 PM","Central",597.275,38640,93
"209",2014,"9 PM","FarNorth",102.05,6240,10
"210",2014,"9 PM","FarSouthwest",5.45,60,1
"211",2014,"9 PM","North",204.75,13500,29
"212",2014,"9 PM","Northwest",7.45,360,1
"213",2014,"9 PM","South",9.25,480,1
"214",2014,"9 PM","Southeast",8.15,390,1
"215",2014,"9 PM","Southwest",9.65,480,1
"216",2014,"9 PM","West",71.15,3960,11
